电视频道,#genre#
CCTV1综合,http://183.196.25.171:808/hls/1/index.m3u8
CCTV2财经,http://183.196.25.171:808/hls/2/index.m3u8
CCTV3综艺,http://183.196.25.171:808/hls/75/index.m3u8
CCTV4中文国际,http://183.196.25.171:808/hls/4/index.m3u8
CCTV5体育,http://183.196.25.171:808/hls/78/index.m3u8
CCTV5+体育赛事,http://183.196.25.171:808/hls/61/index.m3u8
CCTV6电影,http://183.196.25.171:808/hls/76/index.m3u8
CCTV7国防军事,http://183.196.25.171:808/hls/7/index.m3u8
CCTV8电视剧,http://183.196.25.171:808/hls/77/index.m3u8
CCTV9纪录,http://183.196.25.171:808/hls/9/index.m3u8
CCTV10科教,http://183.196.25.171:808/hls/10/index.m3u8
CCTV11戏曲,http://183.196.25.171:808/hls/11/index.m3u8
CCTV12社会与法,http://183.196.25.171:808/hls/12/index.m3u8
CCTV13新闻,http://183.196.25.171:808/hls/13/index.m3u8
CCTV14少儿,http://183.196.25.171:808/hls/14/index.m3u8
CCTV15音乐,http://183.196.25.171:808/hls/15/index.m3u8
CCTV16奥林匹克,http://183.196.25.171:808/hls/100/index.m3u8
CCTV17农业农村,http://183.196.25.171:808/hls/93/index.m3u8
CCTV世界地理,http://111.20.40.160/PLTV/88888893/224/3221226947/index.m3u8
CCTV风云剧场,http://111.20.40.160/PLTV/88888893/224/3221226950/index.m3u8
CCTV风云音乐,http://111.20.40.162/PLTV/88888893/224/3221226953/index.m3u8
CCTV央视台球,http://111.20.40.162/PLTV/88888893/224/3221226956/index.m3u8
CCTV第一剧场,http://111.20.40.160/PLTV/88888893/224/3221226959/index.m3u8
CCTV女性时尚,http://111.20.40.160/PLTV/88888893/224/3221226969/index.m3u8
CCTV怀旧剧场,http://111.20.40.160/PLTV/88888893/224/3221226972/index.m3u8
CCTV兵器科技,http://111.20.40.160/PLTV/88888893/224/3221226975/index.m3u8
CCTV高尔夫网球,http://111.20.40.170/PLTV/88888893/224/3221226978/index.m3u8
CCTV中央文化精品,http://111.20.40.164/PLTV/88888893/224/3221226981/index.m3u8
CCTV风云足球,http://111.20.40.170/PLTV/88888893/224/3221226984/index.m3u8
CCTV电视指南,http://111.20.40.162/PLTV/88888893/224/3221226987/index.m3u8
湖南卫视,http://183.196.25.171:808/hls/27/index.m3u8
河北卫视,http://183.196.25.171:808/hls/16/index.m3u8
浙江卫视,http://183.196.25.171:808/hls/28/index.m3u8
江苏卫视,http://183.196.25.171:808/hls/29/index.m3u8
安徽卫视,http://183.196.25.171:808/hls/30/index.m3u8
北京卫视,http://183.196.25.171:808/hls/31/index.m3u8
天津卫视,http://183.196.25.171:808/hls/32/index.m3u8
辽宁卫视,http://183.196.25.171:808/hls/33/index.m3u8
山东卫视,http://183.196.25.171:808/hls/34/index.m3u8
云南卫视,http://183.196.25.171:808/hls/35/index.m3u8
河南卫视,http://183.196.25.171:808/hls/36/index.m3u8
四川卫视,http://183.196.25.171:808/hls/37/index.m3u8
江西卫视,http://183.196.25.171:808/hls/38/index.m3u8
贵州卫视,http://183.196.25.171:808/hls/39/index.m3u8
深圳卫视,http://183.196.25.171:808/hls/40/index.m3u8
湖北卫视,http://183.196.25.171:808/hls/41/index.m3u8
东方卫视,http://183.196.25.171:808/hls/42/index.m3u8
重庆卫视,http://183.196.25.171:808/hls/43/index.m3u8
东南卫视,http://183.196.25.171:808/hls/44/index.m3u8
广东卫视,http://183.196.25.171:808/hls/45/index.m3u8
广西卫视,http://183.196.25.171:808/hls/46/index.m3u8
黑龙江卫视,http://183.196.25.171:808/hls/79/index.m3u8
吉林卫视,http://183.196.25.171:808/hls/47/index.m3u8
陕西卫视,http://183.196.25.171:808/hls/48/index.m3u8
山西卫视,http://183.196.25.171:808/hls/49/index.m3u8
内蒙古卫视,http://183.196.25.171:808/hls/50/index.m3u8
青海卫视,http://183.196.25.171:808/hls/51/index.m3u8
宁夏卫视,http://183.196.25.171:808/hls/53/index.m3u8
西藏卫视,http://183.196.25.171:808/hls/54/index.m3u8
新疆卫视,http://183.196.25.171:808/hls/55/index.m3u8
甘肃卫视,http://183.196.25.171:808/hls/56/index.m3u8
卡酷少儿,http://183.196.25.171:808/hls/57/index.m3u8
金鹰卡通,http://183.196.25.171:808/hls/58/index.m3u8
金鹰纪实,,http://183.196.25.171:808/hls/87/index.m3u8
北京科教,http://183.196.25.171:808/hls/86/index.m3u8
CETV1,http://183.196.25.171:808/hls/85/index.m3u8
CETV4,http://183.196.25.171:808/hls/92/index.m3u8
河北经济,http://183.196.25.171:808/hls/17/index.m3u8
河北都市,http://183.196.25.171:808/hls/18/index.m3u8
河北影视剧,http://183.196.25.171:808/hls/19/index.m3u8
河北少儿,http://183.196.25.171:808/hls/20/index.m3u8
河北公共,http://183.196.25.171:808/hls/21/index.m3u8
河北农民,http://183.196.25.171:808/hls/22/index.m3u8
石家庄综合,http://183.196.25.171:808/hls/23/index.m3u8
